testId,teamName,testCaseId
1,Skyfall,"TORF-517949_create_m2m_user"
2,Skyfall,"TORF-517949_check_m2m_user_exist"
3,Skyfall,"TORF-517949_get_m2m_user"
4,Skyfall,"TORF-517949_get_m2m_userPassword,TORF-517949_update_m2m_userPassword"
5,Skyfall,"TORF-517949_createProxyAgentAccount,TORF-517949_delete_ProxyAgentAccount"
6,Skyfall,"TORF-517949_check_COM_user"
7,Skyfall,"TORF-517949_delete_m2m_user"
8,Skyfall,"TORF-517949_cannot_acces_REST_endPoint"
9,Skyfall,"TORF-517949_get_m2m_userPassword"
10,Skyfall,"TORF-517949_update_m2m_userPassword"
11,Skyfall,"TORF-517949_createProxyAgentAccount"
12,Skyfall,"TORF-517949_delete_ProxyAgentAccount"
13,Skyfall,"TORF-517949_Verify_correct_IPs_and_ports_returned"
